consent,prolific_id,work_status,ai_tools_use,ai_tools_frequency,mentally_taxed_ai_prompts,ai_info_trust_drains_focus,switching_ideas_ai_flow_harder,meta_thinking_when_using_ai,lose_track_own_vs_ai_thoughts,brief_ai_sessions_mind_cluttered,rely_ai_suggestions_decisions,follow_ai_over_instinct,less_confident_without_ai_input,ai_decides_detached_from_outcome,question_if_decision_truly_mine_ai,ai_blurs_judgment_automation,worry_ai_weakens_independent_decisions,mind_replays_ai_interactions,hard_to_switch_off_after_ai,need_time_away_to_feel_myself,short_ai_breaks_clear_head,day_disconnected_ai_calm_grounded,uneasy_without_ai_long_periods,open_text_ai_effects_on_thinking,age_group,country,gender
Yes,5460ef52fdf99b49ea4b5906,Employed full time,Yes,Often,2,5,2,3,1,2,4,2,3,2,1,1,3,1,1,3,4,4,1,"It generally helps me to make decisions, especially when needing to compare things or decide the most suitable product or course of action. I feel I can think clearly with or without AI tools.
I do find the amount of information and text from AI tools slightly overloading sometimes, so if I used it too much I would definitely need a break from it.",35 - 44,UK,Man
Yes,546ec14dfdf99b2bc7ebd032,Self-employed / freelance,No,Never,1,2,1,1,1,1,1,1,1,6,6,7,7,1,1,4,6,7,1,"I don't trust AI, and I don't trust people who use AI. I make fun of AI whenever I do a survey with AI chatbot in it. The liberal bias is obvious. Woke is written into it, and I pity people who need woke AI to tell them how to think. I prefer to use my own mind. I can think for myself. ",55 - 65,US,Man
Yes,55848744fdf99b574f55ada0,Employed full time,No,Occasionally,2,6,4,2,1,5,1,1,1,1,2,4,2,6,2,7,7,7,1,"It's distracting because you have spend more time trying to evaluate if you have been given factual information, and weighing up the option given to you by AI, it really just adds to your cognitive workload.",45 - 54,UK,Woman
Yes,5589b65afdf99b118adfa595,Self-employed / freelance,Yes,Often,4,5,5,4,5,5,3,2,3,5,5,4,4,2,3,4,6,3,4,"It allows me to sort of rest my mind, but I feel it's hard to get back into my rythym iff I spend too much time with AI",25 - 34,US,Man
Yes,558fff05fdf99b3f7aada357,Employed full time,Yes,Occasionally,3,2,4,4,3,2,1,2,2,1,2,3,6,1,1,2,3,2,1,"I'm not dependent on AI. Occasionally I'll use it for quick answers if I'm too lazy to research something or make a decision myself. I see AI as a way to minimize thinking instead of constantly worrying about how to use AI. Since I have always been skeptical of AI and it's overall helpfulness, I'm more likely to doubt any results I get rather than to trust them blindly.",35 - 44,US,Man
Yes,5591cd21fdf99b63126f6c60,Employed full time,Yes,Often,1,1,3,2,1,1,1,3,1,6,4,2,7,1,1,1,7,5,1,"I feel it encourages me to refine my ideas, which makes me think more. ",35 - 44,US,Man
Yes,559bbbdafdf99b7ce19d5b3d,Employed full time,Yes,Very often,3,4,3,2,1,2,5,3,4,2,4,5,5,5,4,2,3,3,3,"Sometimes AI feels like too much of a shortcut, like a lot of the thought process of a decision goes out of the window and it becomes a different kind of process, just comparing an AI's output. I do feel this fundamentally changes something about how we arrive at decisions using evidence and statistics. ",35 - 44,UK,Man
Yes,55bd8669fdf99b5bfc7d4cfc,Employed full time,Yes,Often,2,4,2,6,1,1,2,1,1,6,1,1,7,1,1,1,7,5,1,I use AI like a partner working together each providing information for a decision so no mental effect really,25 - 34,US,Man
Yes,55eee81b9df9fe000efae1d4,Employed full time,Yes,Sometimes,5,7,6,6,4,5,2,2,1,5,7,7,7,1,1,7,7,5,2,There's just so much of it going on,35 - 44,UK,Woman
Yes,56153d5e7ffc8a000a811ba8,Self-employed / freelance,Yes,Occasionally,4,4,5,7,1,5,1,4,2,5,4,5,7,5,5,4,6,7,1,it can give me a lot of info to ponder about,35 - 44,UK,Woman
Yes,5654175604212700054a12b1,Employed full time,No,Rarely,5,5,3,1,1,1,1,2,1,3,2,2,4,1,1,1,1,4,1,AI has not affected my ability to make decisions or think clearly,25 - 34,US,Man
Yes,56a25853dbe850000cfcd1e4,Self-employed / freelance,No,Rarely,4,5,4,4,2,5,1,2,2,6,3,5,6,3,5,6,5,5,6,"I think generally spending too much time on screens clutters your brain and because of the stimulation, when you leave it, there is always some time afterwards where you think you should go back to get this done or look up that or check email. ",45 - 54,UK,Woman
Yes,56b10faa6399f90011da710d,Employed full time,Yes,Very often,4,4,3,6,2,2,5,7,3,2,3,4,6,3,2,5,6,4,1,It can affect me sometimes but I take breaks for my mental health ,35 - 44,UK,Woman
Yes,56b6e2fcf2fc70000c32f9d5,Employed full time,Yes,Very often,5,3,5,4,4,4,6,3,5,6,5,5,7,2,2,3,3,3,3,i find I don't trust my own judgement or I a hard on myself when AI produces something better. I worry that I don't seem to be able to 'think through' problems any more,45 - 54,UK,Woman
Yes,56b78f11e77ebe000cbefe79,Employed part-time,Yes,Occasionally,5,7,6,3,3,2,2,2,2,4,4,6,6,5,4,4,5,5,3,"I think it mainly comes under the heading 'TMI' or 'information overload'. AI responses often try to be all things to all people in a single response. It would be easier to assimilate information or guide the AI in the direction I want to go, if conversations started with brief introductions to ideas and themes and allow me to choose which to develop and in what order. The lack of sources or references/credits is enormously frustrating and in general I am uncomfortable with the way AI adopts and presents ideas as their own rather than the scientist or professional who is really responsibly. Sometimes the length of responses is off-putting and written in styles that are not easily accessible ie need to read a few times to ger the sense of the comments due to unusual vocabularly or sentence structure. All this is like 'noise' over and above the analysis and decision I am trying to progress.",55 - 65,UK,Woman
Yes,56b8ad1be1d0a2000c154093,Self-employed / freelance,No,Rarely,7,7,7,4,4,7,1,1,1,4,4,4,6,2,1,4,4,4,1,"AI output isn't always accurate, and it doesn't always understand exactly what you are looking for, and being alert for this and double checking is time consuming and tiring. Even so, AI doesn't impact my ability to think clearly, or 'think for myself'.",55 - 65,UK,Woman
Yes,56c6f9efb0b7a1000c5d12d7,Employed full time,Yes,Sometimes,3,4,6,4,3,3,5,3,6,5,4,5,6,3,2,6,6,4,2,"It makes systems and processes easier to deal with, and so reduces my own independent thought - I question if my own choices are the right ones and often feel the need to double check with AI",45 - 54,UK,Man
Yes,572bcdbb34b25a0010ddd977,Employed full time,Yes,Everyday,4,5,5,5,3,2,4,3,2,4,4,5,5,1,1,2,6,4,2,"Ai doesn't really affect my thinking in a deep way, I usually use AI as a support in my decisions. Sometimes it can help me to clearify some doubts but the final decision is always mine. ",45 - 54,UK,Man
Yes,573f3168d700ea000ff433a6,Employed full time,Yes,Often,3,6,3,5,3,6,6,3,7,3,7,6,6,2,3,6,6,4,1,"It's hard to unblur the lines between where I end and where AI starts. I sometimes ""hallucinate"" and think that my words were made by the AI and vice versa. ",35 - 44,UK,Man
Yes,57439a4354636a000d78639a,Employed full time,Yes,Often,2,2,2,2,2,2,4,4,2,2,3,4,5,2,1,1,1,1,1,"It allows me to free up time to do other important things because it takes the thoughtless tasks off my hands and handles them quickly, more quicker than I could. I still have input when it comes to how I do my job. ",35 - 44,US,Woman
Yes,57a7326516a091000112edb2,Employed part-time,Yes,Sometimes,4,4,4,5,3,3,3,3,3,4,5,5,4,5,4,3,4,3,3,"I don’t really have too much of an issue in thinking clearly, making decisions  or resting my mind after using AI but there are times when I feel that it improves my confidence when I do so and I’m less sure of myself without it sometimes ",Over 65,UK,Woman
Yes,5803cb9a3073510001231d82,Employed full time,Yes,Sometimes,3,5,3,4,1,2,2,3,1,4,5,3,6,1,1,3,6,5,1,it helps with the advice I need to give but when I'm not 100% sure my advice is correct,55 - 65,UK,Woman
Yes,580cab86b869700001d71628,Self-employed / freelance,No,Occasionally,7,7,7,7,7,7,3,2,2,7,7,7,7,1,1,7,3,2,1,When I need books to read and clarification on news or a concept I don't get.,55 - 65,US,Prefer not to say
Yes,587249a2e9cb31000195ed09,Unable to work due to illness or disability,Yes,Rarely,6,5,4,2,1,2,2,2,1,5,6,2,5,1,2,2,2,4,1,"It doesn't really _ I use it for programming, so can test the results and adjust without too much thought.",55 - 65,UK,Man
Yes,587625efdb3e720001e233fb,Unemployed and looking for work,Yes,Sometimes,2,5,2,5,3,2,3,3,4,3,2,3,5,1,4,2,3,5,3,Sometimes I get a thought and get distracted talking to the AI about it instead of doing more productive things.,25 - 34,UK,Man
Yes,58954e2dc88c680001dd4b7e,Employed part-time,Yes,Sometimes,5,5,6,5,6,6,4,3,3,5,5,5,4,4,5,5,6,5,3,"I try stay away, Best I can, it's overload and contradictory , sometimes fun, but only fir a short period, I'm 60, I don't need this ",55 - 65,UK,Man
Yes,58bfee7de5869400018f5e9e,Employed full time,Yes,Everyday,5,6,4,5,6,3,5,6,3,5,6,6,5,6,4,3,7,5,4,It affects my critical thinking,35 - 44,UK,Man
Yes,58f0fca0d40252000192f201,Employed full time,Yes,Often,4,4,3,3,2,2,3,4,5,3,3,2,5,2,2,2,2,3,2,I honestly don’t think it effects it but I do rely on it more and find myself not trying to think as hard ,35 - 44,US,Man
Yes,59497c498fb2140001afda85,Employed full time,No,Occasionally,4,4,3,4,2,4,2,3,2,4,4,4,4,4,4,6,4,4,4,As the work is done for you. ,25 - 34,UK,Woman
Yes,594ea461c6a70f00010aaa8d,Employed full time,Yes,Very often,3,2,3,2,2,2,3,2,2,3,3,2,3,3,3,2,5,3,2,It makes you forget how to think for yourself ,55 - 65,UK,Woman
Yes,5953d01e4d560700016462da,Unable to work due to illness or disability,Yes,Everyday,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"It doesn't affect me negatively. Instead, since I can be mentally and physically fatigued due to medical issues, it helps me with tasks related to managing my medical stuff. For instance, I might give it the info that I want to convey during an upcoming appointment and then have it clarify and condense that to make it more effective. This saves me time and energy and makes me more likely to succeed at my appointment. This helps me to rest my mind by being more easily prepared.",55 - 65,US,Woman
Yes,5962a5b29955ee00015bce98,Self-employed / freelance,Yes,Sometimes,5,6,4,5,2,5,2,2,6,4,2,4,5,2,4,5,6,4,5,"It helps me to summarise potential negative outcomes of a decision and have a list of pros and cons to consider, in order to make a faster decision without a lot of research.",25 - 34,UK,Prefer not to say
Yes,59710ac7b174180001757d6a,Employed full time,No,Occasionally,2,1,2,2,1,1,1,1,1,4,3,4,4,1,1,1,3,1,1,I don't use it a lot. So minimum impact. ,35 - 44,UK,Man
Yes,597e0d5f37978a00016b4e6a,Employed part-time,Yes,Sometimes,2,2,2,1,1,1,5,3,3,4,2,5,5,6,6,4,4,3,1,I find I increasingly ask and act on advice from AI tools. Im obviously not using my own ability to research/make decisions when I do this. I guess I do worry a little that Im becoming a bit dependant on AI. I would not say it puts my mind at unrest exactly but I do get a bit too involved sometimes.,45 - 54,UK,Woman
Yes,5980fff19bf4fe0001070984,Self-employed / freelance,No,Occasionally,3,6,2,4,2,3,2,1,1,1,3,4,6,5,3,7,2,2,1,It sometimes impairs my thinking as I look to AI to help me clarify a decision I've made`,45 - 54,UK,Man
Yes,5987030cfd8cca00015cbc26,Employed full time,Yes,Often,5,4,3,6,3,2,2,2,2,2,4,5,5,1,1,1,2,3,1,"I use it for harder tasks only or rewording my own never just because I can, I still do my own too as do not want to rely on it all the time!",55 - 65,UK,Woman
Yes,59a5b35c5954130001582a40,Employed full time,Yes,Rarely,1,4,4,5,3,3,4,5,5,5,4,5,5,3,3,3,3,3,4,"Using AI tools helps me solve problems which puts me at east. However, i feel like I'm becoming dependent on it which makes me uneasy.",35 - 44,UK,Man
Yes,59ccd702faf42e00012b68f5,Unemployed and looking for work,Yes,Everyday,3,4,4,5,2,4,3,2,3,4,5,5,3,1,1,1,2,3,1,Using AI tools makes me think less hard on topics. I turn to AI instead of thinking deeply on things. ,25 - 34,UK,Man
Yes,59cff8eed227970001199862,Employed full time,Yes,Often,4,5,6,6,5,2,3,4,2,6,5,4,6,1,2,3,5,6,2,"Using digital and AI tools helps me find information quickly and solve problems easily. However, too much can distract me, make thinking harder and disrupt my sleep. When I use them wisely, they improve my decision making. Overuse makes it harder to rest my mind.",45 - 54,UK,Man
Yes,59d3ef2c078dbe000195117f,Employed full time,Yes,Often,1,1,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,It doesn’t affect my ability to think clearly. I use it and then move on. ,45 - 54,UK,Woman
Yes,59d4c100078dbe0001951236,Employed part-time,No,Rarely,2,5,4,2,1,2,1,3,1,4,5,6,5,1,1,5,5,6,1,"I think it makes me question my own judgements and thought processes, and I doubt my own abilities",35 - 44,UK,Woman
