variable,description,type,values,
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes (stored as 'yes'; original raw label: 'Yes')
work_status,Which of the following best describes your current work status?,Participant current employment status category,categorical,"Allowed values: employed_full_time, employed_part_time, self_employed_freelance, unemployed_looking, unemployed_not_looking, student, retired, homemaker_caring_family, unable_to_work_illness_disability, other"
ai_tool_use,"Do you use any AI-powered tools or features in your work or daily life? (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search)",Whether participant uses AI tools.,categorical,"Allowed values: yes, no"
ai_tool_use_frequency,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?",Frequency of AI tool or digital tool use.,categorical,"Allowed values (stored as snake_case): never, rarely, sometimes, occasionally, often, very_often, everyday"
mentally_taxed_by_prompts,I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Mentally taxed when crafting AI prompts,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_accuracy_drains_focus,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,AI trust-checking drains focus,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
switching_ai_flow_disruption,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,Switching between own ideas and AI disrupts flow,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
meta_thinking_ai,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,Thinks about how to think when using AI,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
losing_thought_source,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Loses track of whether ideas came from AI or self,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_overstimulates_mind,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,AI sessions leave mind cluttered or overstimulated,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_reliance_decisions,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,Relies on AI for everyday decisions,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_overrides_instinct,"When digital or AI advice conflicts with my instinct, I usually follow the system's recommendation. ",Follows AI advice over own instinct,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_confidence_loss,I feel less confident making decisions without digital or AI input. ,Feels less confident making decisions without AI,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_decision_detachment,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,AI decisions save time but feel detached from outcome,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_afterthoughts,"After following AI advice, I sometimes question whether the decision was truly mine. ",Questions whether AI-influenced decisions were truly own,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_judgment_blurring,Using AI tools blurs the line between my judgment and automation. ,Feels AI blurs line between own judgment and automation,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_dependency_worry,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,Worries AI reliance weakens decision-making over time,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_interaction_replay,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",Mind replays AI interactions afterwards,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_switching_off_difficulty,I find it hard to mentally switch off after spending time with digital or AI systems. ,Hard to switch off mentally after using AI,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
need_disconnection_to_reset,I need time away from screens or AI tools to feel like myself again. ,Needs time away from AI/tools to feel like themselves,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_breaks_clear_mind,Taking short breaks from AI or digital input helps me clear my head. ,Short breaks from AI help clear mind,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
day_without_ai_clarity,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",Thinking feels calmer on days without AI,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
restless_without_ai,I feel uneasy or restless when I'm not able to use digital or AI tools for long periods. ,Feels uneasy/restless without access to AI/tools,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_effects_on_thinking,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ","Open-text: How AI/digital tools affect thinking, decisions, and mental rest",text,"Open-text responses describing how AI or digital tool use affects participants’ thinking clarity, decision-making, or mental rest. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
age_group,What is your age group?,Age category.,categorical,"Allowed values: 18_24, 25_34, 35_44, 45_54, 55_65, over_65"
country,Country of residence.,Country participant lives in.,categorical,"Allowed values (ISO-like codes): au, ie, nz, uk, us"
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,"Allowed values: man, woman, non_binary, prefer_not_to_say"
