I am 18+ and consent to take part. I understand anomymised data will be published openly,Which of the following best describes your current work status? ,Do you use any AI-powered tools or features in your work or daily life?,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, search assistants, or productivity apps) in your daily life? ",I often feel mentally taxed when trying to guide or re-phrase prompts for digital or AI tools to get the result I want.  ,Figuring out whether digital or AI information is accurate or trustworthy drains my focus and mental energy. ,Switching between my own ideas and AI-generated suggestions makes it harder to stay in flow. ,I sometimes catch myself thinking about how to think when I use AI or digital systems. ,I lose track of what thoughts are mine versus what came from a digital or AI tool. ,Even brief sessions with digital or AI tools can leave my mind cluttered or overstimulated. ,I rely on digital or AI suggestions to make many everyday work or personal decisions.  ,"When digital or AI advice conflicts with my instinct, I usually follow the system’s recommendation. ",I feel less confident making decisions without digital or AI input. ,Letting AI or digital systems decide for me saves time but leaves me feeling detached from the outcome. ,"After following AI advice, I sometimes question whether the decision was truly mine. ",Using AI tools blurs the line between my judgment and automation. ,I worry that depending on digital or AI systems weakens my independent decision-making over time. ,"Even after I stop using AI or digital tools, my mind keeps replaying the interaction.  ",I find it hard to mentally switch off after spending time with digital or AI systems. ,I need time away from screens or AI tools to feel like myself again. ,Taking short breaks from AI or digital input helps me clear my head. ,"When I spend a day disconnected from AI or digital systems, my thinking feels calmer and more grounded. ",I feel uneasy or restless when I’m not able to use digital or AI tools for long periods. ,"In your own words, describe how using digital or AI tools affects your ability to think clearly, make decisions, or rest your mind.  ",What is your age group?,Country of residence,Which of the following best describes your gender?
Yes,Employed full time,Yes,Everyday,2,3,4,1,1,5,3,4,3,4,3,4,2,1,1,3,3,3,1,"It definitely rests my mind, we're at the point where we are working side-by-side with AI models to help us manage our daily workload, for me atleast. It helps alot to make decisions and gain a much clearer thought. ",25 - 34,UK,Man
Yes,Employed full time,Yes,Often,3,5,3,3,3,3,5,3,3,3,4,4,5,3,3,3,5,4,4,"AI is good for helping me organize my thoughts, but sometimes I worry about too much input from it affecting my decisions or potentially putting me in an echo chamber of sorts.",25 - 34,US,Woman
Yes,Employed full time,Yes,Everyday,2,2,1,5,1,1,7,2,5,1,1,1,1,1,1,1,5,2,6,"When I spend too much time on my laptop working intensively and using digital tools, I experience cognitive fatigue and feel the need to rest my mind.",45 - 54,UK,Woman
Yes,Student,Yes,Everyday,2,2,1,5,2,1,5,2,2,4,2,5,5,1,1,1,1,1,1,I think it helps with productivity as I use it at a starting point for brief ideas,18 - 24,New Zealand,Man
Yes,Self-employed / freelance,No,Never,1,5,6,1,4,4,1,1,1,1,1,1,7,1,1,1,1,6,1,I don't use AI tools as I'm worried they will affect my ability to think clearly and make balanced decisions.,25 - 34,UK,Woman
Yes,Employed full time,No,Occasionally,4,4,3,4,2,4,2,3,2,4,4,4,4,4,4,6,4,4,4,As the work is done for you. ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Everyday,5,4,4,4,2,2,4,2,4,3,4,4,4,2,4,4,4,4,1,Sometimes I can be indecisive about whether to use the idea from AI or my own but I overcome the indecision quite quickly.,45 - 54,UK,Man
Yes,Retired,Yes,Occasionally,5,5,6,5,5,4,3,3,4,3,3,3,3,1,2,5,6,6,1,using ai makes me feel lazy and overwhelmed sometimes,55 - 65,UK,Woman
Yes,Mother and student,Yes,Sometimes,6,5,7,7,2,5,2,1,1,5,3,1,5,1,1,1,3,5,3,I have ADHD so sometimes offloading things to AI help me make sense of things when everything seems too much ,25 - 34,UK,Woman
Yes,Employed full time,Yes,Often,2,2,2,2,2,2,4,4,2,2,3,4,5,2,1,1,1,1,1,"It allows me to free up time to do other important things because it takes the thoughtless tasks off my hands and handles them quickly, more quicker than I could. I still have input when it comes to how I do my job. ",35 - 44,US,Woman
Yes,Self-employed / freelance,Yes,Sometimes,5,6,5,2,2,3,2,2,2,6,6,6,6,3,3,5,6,7,2,Sometimes I feel as though I've lost control of things if I use AI too much.,55 - 65,UK,Man
Yes,Homemaker / caring for family,No,Never,4,5,4,1,1,5,1,1,1,4,5,7,7,3,4,7,6,7,1,"I don't use AI, it's encouraging helplessness in the population ",25 - 34,US,Woman
Yes,Employed full time,Yes,Everyday,3,5,5,6,5,6,4,3,5,7,5,5,7,5,5,3,5,2,5,"I think I get a bit overreliant on AI at times, and I think it is harming my early career slightly, as I am a little less competent than I would be if I was not using AI",18 - 24,UK,Man
